# 
                # This file maps assembly source symbols to PROM/microcode addresses and source lines, forming a crude
                # symbol table.
                #
                # Each source file is given a header a la:
                # [FooSource.asm]
                # (with brackets)

                # Each line's syntax is:
                # <symbol name 1>, .. , <symbol name N>: <address or value (hex)>,<line number(decimal) in current source file>
                # where '*none*' is a special symbol name meaning no symbol mapping is present.
[CoreInitial.mc,v]
*none*: 0x015e,161
*none*: 0x015f,162
*none*: 0x0160,163
*none*: 0x0161,165
SetSA1Const: 0x0102,177
*none*: 0x0165,178
*none*: 0x0166,181
*none*: 0x0167,182
SetURegs: 0x0168,183
*none*: 0x0169,186
*none*: 0x016a,187
*none*: 0x016b,188
DisplayInit: 0x018d,273
*none*: 0x018e,274
*none*: 0x018f,275
*none*: 0x0190,277
*none*: 0x0191,278
*none*: 0x0192,279
*none*: 0x0193,281
*none*: 0x0194,282
*none*: 0x0195,283
*none*: 0x0196,285
*none*: 0x0197,286
*none*: 0x0198,287
*none*: 0x0199,289
*none*: 0x019a,290
*none*: 0x019b,291
*none*: 0x019c,293
*none*: 0x019d,294
*none*: 0x019e,295
*none*: 0x019f,297
*none*: 0x01a0,298
*none*: 0x01a1,299
*none*: 0x01a2,301
*none*: 0x01a3,302
*none*: 0x01a4,303
*none*: 0x01a5,305
*none*: 0x01a6,306
*none*: 0x01a7,307
*none*: 0x01a8,309
*none*: 0x01a9,310
LSepInit: 0x01aa,311
*none*: 0x01ab,313
*none*: 0x01ac,314
*none*: 0x01ad,315
*none*: 0x01ae,317
*none*: 0x01af,318
*none*: 0x01b0,319

[FloppyInitial.mc,v]
DoneOnceOnlyInit: 0x0244,50
*none*: 0x0245,51
*none*: 0x0246,52
clearBank0: 0x0126,54
*none*: 0x0247,55
*none*: 0x0248,56
GFT: 0x0127,60
*none*: 0x0249,61
*none*: 0x024a,62
*none*: 0x024b,64
*none*: 0x024c,65
*none*: 0x0112,66
*none*: 0x024d,68
*none*: 0x024e,69
*none*: 0x024f,70
Remap: 0x0138,73
*none*: 0x0250,74
*none*: 0x0116,75
DoneRemap: 0x0139,80
*none*: 0x0251,81
*none*: 0x0252,82

[IOP.mc,v]
IOPIdle: 0x0027,86
*none*: 0x005f,87
*none*: 0x002c,88
CReadMem: 0x0021,158
IOPSubc2: 0x0069,323
*none*: 0x006a,324
*none*: 0x006b,327
*none*: 0x006c,328
*none*: 0x006d,329
*none*: 0x006e,332
*none*: 0x006f,333
*none*: 0x0070,334
IOPSub2: 0x0022,339
*none*: 0x0071,340
*none*: 0x0072,341
*none*: 0x0073,344
*none*: 0x0013,345
*none*: 0x0011,160
RFirst: 0x0046,165
*none*: 0x0047,166
*none*: 0x0031,167
RLoByte: 0x0048,172
IOPSubc1: 0x0020,322
*none*: 0x0010,102
*none*: 0x002d,106
*none*: 0x002e,107
WLo3: 0x0019,119
WHiByte: 0x002f,112
*none*: 0x0030,113
*none*: 0x003c,114
WLo3Last: 0x003d,123
WLo: 0x0032,117
*none*: 0x0034,118

